data	gene.peak.targetGO	totalgenetargetGO	gene.peak.notargetgene	totalgenenotargetgene	p1	p2	protestpvalue	fdr
H1HESC.USF2	358	2165	2014	14827	16.5357967667436	13.5833277129561	0.000242908396457382	0.000364362594686073
H1HESC.YY1SC281	1832	5515	3554	11477	33.2184950135993	30.9662803868607	0.00331805231224358	0.00459422627849111
K562.ATF3	1271	4449	3053	12543	28.5682175769836	24.3402694730128	2.97867677793937e-08	6.09274795487598e-08
K562.BCL3	213	6394	214	10598	3.33124804504223	2.0192489148896	1.58044451871479e-07	3.09217405835502e-07
K562.CEBPB	1789	7088	2339	9904	25.239841986456	23.6167205169628	0.0157556287655959	0.0199927212750925
K562.CFOS	1012	6978	1450	10014	14.5027228432216	14.4797283802676	0.984249345704849	0.984249345704849
K562.CJUN	1156	9724	654	7268	11.8881118881119	8.99834892680242	1.78896327441407e-09	4.07618430440229e-09
K562.CMYC	2718	8829	2047	8163	30.7849133537207	25.0765649883621	1.46974973544672e-16	6.61387380951023e-16
K562.CTCF	1427	3988	3979	13004	35.7823470411234	30.5982774530914	8.81191305751715e-10	2.14343831128796e-09
K562.E2F4	1874	5205	3191	11787	36.0038424591739	27.0721981844405	1.06989497554888e-31	1.20363184749249e-30
K562.EGR1	4284	7766	4554	9226	55.1635333505022	49.360502926512	5.18511368301041e-14	1.79484704411899e-13
K562.ETS1	2079	6949	3283	10043	29.9179738091812	32.6894354276611	0.000141783081117271	0.000216279276280582
K562.GABP	1446	4244	4226	12748	34.071630537229	33.1502980859743	0.278519025571015	0.302008581944474
K562.JUND	1955	4726	4555	12266	41.3669064748201	37.1351703896951	4.04903713972445e-07	7.59194463698335e-07
K562.MAX	2318	4074	6108	12918	56.8973981345115	47.282861124013	1.21095878863018e-26	1.21095878863018e-25
K562.MEF2A	380	5408	651	11584	7.02662721893491	5.61982044198895	0.000394785943010979	0.000582471063458822
K562.NFYA	223	1525	1888	15467	14.6229508196721	12.2066334777268	0.00717455097997076	0.00949572923819659
K562.NFYB	365	1987	2665	15005	18.3694011071968	17.7607464178607	0.525507285011778	0.543628225874254
K562.NRF1	218	787	2589	16205	27.700127064803	15.9765504473928	7.99217730250517e-18	3.99608865125259e-17
K562.NRSF	1934	8910	1388	8082	21.705948372615	17.1739668398911	1.17292811596639e-13	3.90976038655462e-13
K562.P300	2176	8846	1606	8146	24.5986886728465	19.715197643015	2.40849293942766e-14	8.67057458193959e-14
K562.P300	2176	8846	1606	8146	24.5986886728465	19.715197643015	2.40849293942766e-14	8.67057458193959e-14
K562.PU1	1727	5600	2788	11392	30.8392857142857	24.4733146067416	1.22644397527843e-18	6.89874736094114e-18
K562.RAD21	305	3502	970	13490	8.70930896630497	7.19051148999259	0.00266617911915328	0.0037493143863093
K562.SIN3AK20	3196	7910	3044	9082	40.4045512010114	33.5168465095794	1.78383074916676e-20	1.4594978856819e-19
K562.SIX5	215	2116	2345	14876	10.1606805293006	15.7636461414359	1.95901490074758e-11	5.34276791112975e-11
K562.SP1	1357	5887	2233	11105	23.050789875998	20.108059432688	8.51975268766375e-06	1.41995878127729e-05
K562.SRF	990	8750	982	8242	11.3142857142857	11.9145838388741	0.231285842606304	0.253850315055699
K562.TAF1	3988	7648	3512	9344	52.1443514644351	37.5856164383562	1.75101952361375e-80	7.87958785626188e-79
K562.TBP	1918	3542	5411	13450	54.1501976284585	40.2304832713755	5.74063140958221e-50	8.61094711437332e-49
K562.USF1	1118	4401	2896	12591	25.4033174278573	23.0005559526646	0.00132868244213201	0.0018981177744743
K562.USF2	155	2165	934	14827	7.15935334872979	6.29931881027855	0.13905200398371	0.160444619981204
K562.YY1	2087	5515	4123	11477	37.8422484134179	35.9240219569574	0.015772035672573	0.0199927212750925
K562.ZBTB33	35	574	1313	16418	6.09756097560976	7.9973200146181	0.114819165668235	0.134204219612223
