Category	Geneset.ID	Description	Number.of.Genes	enrich.status	enrich.fdr	enrich.pvalue	promoter.status	promoter.fdr	promoter.pvalue	enhancer.status	enhancer.fdr	enhancer.pvalue
Gene Ontology Biological Process	GO:0007409	axonogenesis	300	enriched	1.09557479940405e-09	1.04057307948825e-11	depleted	0.127427420045515	0.0104631265772832	closer	5.39259496450266e-05	7.33116425549012e-07
Gene Ontology Biological Process	GO:0048489	synaptic vesicle transport	88	enriched	1.24298029648232e-09	1.25285860471178e-11	enriched	0.464436000079114	0.143644642258326	farther	0.913176264134929	0.794921629419618
Gene Ontology Biological Process	GO:0097480	establishment of synaptic vesicle localization	88	enriched	1.24298029648232e-09	1.25285860471178e-11	enriched	0.464436000079114	0.143644642258326	farther	0.913176264134929	0.794921629419618
Gene Ontology Biological Process	GO:0099003	vesicle-mediated transport in synapse	88	enriched	1.24298029648232e-09	1.25285860471178e-11	enriched	0.464436000079114	0.143644642258326	farther	0.913176264134929	0.794921629419618
Gene Ontology Biological Process	GO:0007270	neuron-neuron synaptic transmission	100	enriched	1.39665319262331e-09	1.43482495074695e-11	depleted	0.777117914448345	0.504835522184579	closer	0.515394256196966	0.227386113057527
Gene Ontology Biological Process	GO:0097479	synaptic vesicle localization	93	enriched	1.95352681689038e-09	2.04478480542897e-11	enriched	0.443939195016023	0.115056583436374	farther	0.951253125140399	0.882597753543883
Gene Ontology Biological Process	GO:0050877	neurological system process	480	enriched	2.58070012425703e-09	2.75127945016741e-11	depleted	0.00170072848308573	3.10002864863406e-05	closer	1.01975721079477e-09	1.98049565118426e-12
Gene Ontology Biological Process	GO:0015672	monovalent inorganic cation transport	228	enriched	5.2123455969218e-09	5.66390127242512e-11	depleted	0.818654901253363	0.568841293809278	closer	0.344250480323554	0.100687749731457
Gene Ontology Biological Process	GO:0050808	synapse organization	182	enriched	5.2123455969218e-09	5.75893969809155e-11	depleted	0.285413408224439	0.0415606992230495	closer	1.37657595053351e-05	1.52362337956664e-07
Gene Ontology Biological Process	GO:0048468	cell development	871	enriched	3.40156498772499e-08	3.82420564621147e-10	depleted	0.101695164615601	0.00717995217632071	closer	1.66036895249901e-05	1.87029324616319e-07
Gene Ontology Biological Process	GO:0015837	amine transport	57	enriched	5.01274520041468e-08	5.73273825982683e-10	depleted	0.230115972401402	0.0273533238475973	closer	0.616164728664266	0.322980890010653
Gene Ontology Biological Process	GO:0051960	regulation of nervous system development	423	enriched	1.72159036390483e-07	2.03560791235112e-09	depleted	0.195105650339181	0.0196732476587888	closer	7.08456276602926e-06	5.22845960592565e-08
Gene Ontology Biological Process	GO:0017158	regulation of calcium ion-dependent exocytosis	48	enriched	1.74355730172584e-07	2.09537803270018e-09	enriched	0.701989062519673	0.396760037075208	farther	0.945809744898366	0.869790094674054
Gene Ontology Biological Process	GO:0099565	chemical synaptic transmission, postsynaptic	94	enriched	1.85867805148286e-07	2.26975610086102e-09	enriched	0.88801471986483	0.698745540482799	closer	0.846473849018942	0.655243897642349
Gene Ontology Biological Process	GO:0016079	synaptic vesicle exocytosis	57	enriched	2.51388110352349e-07	3.11859644554183e-09	enriched	0.489342508709376	0.160741944881459	farther	0.75806274321866	0.516318904732538
Gene Ontology Biological Process	GO:0007613	memory	85	enriched	4.2346451176915e-07	5.33537376720193e-09	depleted	0.215963694212297	0.0234096771504119	closer	0.0112869420898248	0.000469634344715568
Gene Ontology Biological Process	GO:0003008	system process	743	enriched	5.43418652380463e-07	6.95205098994195e-09	depleted	1.02068057277328e-05	6.33348425998547e-08	closer	1.86129183626748e-12	3.6148608200961e-16
Gene Ontology Biological Process	GO:0030030	cell projection organization	648	enriched	7.73000690733947e-07	1.00389700095318e-08	depleted	0.327030188102175	0.0542750752340416	closer	0.00020088648153151	3.74540730763739e-06
Gene Ontology Biological Process	GO:0035176	social behavior	59	enriched	7.8920534794141e-07	1.05553729420348e-08	depleted	0.706111632673509	0.403511921948581	closer	0.0465612741835744	0.00360806921717735
Gene Ontology Biological Process	GO:0051703	intraspecies interaction between organisms	59	enriched	7.8920534794141e-07	1.05553729420348e-08	depleted	0.706111632673509	0.403511921948581	closer	0.0465612741835744	0.00360806921717735
Gene Ontology Biological Process	GO:0000904	cell morphogenesis involved in differentiation	385	enriched	8.25403372559674e-07	1.11995030198056e-08	depleted	0.189592494280222	0.019007042765731	closer	0.000120407681152012	1.94092785698524e-06
Gene Ontology Biological Process	GO:0007187	G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	108	enriched	8.71411349755324e-07	1.19926741292165e-08	depleted	0.4455561976371	0.126055166250248	closer	0.331141043926278	0.094250245366024
Gene Ontology Biological Process	GO:0050806	positive regulation of synaptic transmission	85	enriched	8.95133961819787e-07	1.249266238632e-08	depleted	0.650318747348001	0.328710680746449	closer	0.0792755686114992	0.00766735932579658
Gene Ontology Biological Process	GO:0051648	vesicle localization	137	enriched	1.02266310089349e-06	1.44707126119839e-08	enriched	0.0764524012425911	0.00447714275262023	farther	0.676688352918551	0.402418703790375
Gene Ontology Biological Process	GO:0051650	establishment of vesicle localization	129	enriched	1.04169632870412e-06	1.51438698687359e-08	enriched	0.127427420045515	0.0102428006891075	farther	0.685061079325804	0.412313902666666
Gene Ontology Biological Process	GO:0007188	adenylate cyclase-modulating G-protein coupled receptor signaling pathway	98	enriched	1.09560085495861e-06	1.61398846630848e-08	depleted	0.516562463410001	0.183609881558234	closer	0.298383822317355	0.0759722647228689
Gene Ontology Biological Process	GO:0060079	excitatory postsynaptic potential	82	enriched	2.02686661025625e-06	3.06446201977103e-08	enriched	0.91269601775047	0.749296800590921	closer	0.846383898919218	0.653168200896994
Gene Ontology Biological Process	GO:0048168	regulation of neuronal synaptic plasticity	38	enriched	2.14198934272352e-06	3.28003795454851e-08	depleted	0.64960813212941	0.325053816341182	closer	0.115472514262758	0.0146218837248627
Gene Ontology Biological Process	GO:0051937	catecholamine transport	51	enriched	2.15095317086641e-06	3.33545752411926e-08	depleted	0.786626480983725	0.517800944873637	farther	0.95831211799451	0.893080215699091
Gene Ontology Biological Process	GO:0009187	cyclic nucleotide metabolic process	104	enriched	2.35576606261792e-06	3.69872167226306e-08	depleted	0.480607990879397	0.154654008024941	closer	0.48932408011856	0.201849746780311
Gene Ontology Biological Process	GO:0007420	brain development	357	enriched	2.7625398845831e-06	4.39093371846896e-08	depleted	0.0517541286829186	0.0025490689713906	closer	0.000971178758567275	2.31996479517916e-05
Gene Ontology Biological Process	GO:0035637	multicellular organismal signaling	126	enriched	2.9774862943708e-06	4.79029584091444e-08	depleted	0.63227096063182	0.3039038900354	closer	0.202990102301758	0.0377996714611162
Gene Ontology Biological Process	GO:0097485	neuron projection guidance	172	enriched	3.24081613349862e-06	5.27676982387835e-08	depleted	0.340884465704943	0.0611878426205497	closer	0.00120309114574691	2.98730240396963e-05
Gene Ontology Biological Process	GO:0045664	regulation of neuron differentiation	318	enriched	3.30310930110574e-06	5.46784234301956e-08	depleted	0.287741447703011	0.0423344629479392	closer	0.00357006206095979	0.000117176245543252
Gene Ontology Biological Process	GO:0006816	calcium ion transport	211	enriched	3.30310930110574e-06	5.50624927108148e-08	depleted	0.167916260443539	0.0158034326860603	closer	0.103921147505669	0.0121904006784666
Gene Ontology Biological Process	GO:0051705	multi-organism behavior	63	enriched	3.76337334773337e-06	6.34645243754221e-08	depleted	0.841112076982454	0.614027235011239	closer	0.0392454638488694	0.00270186304901793
Gene Ontology Biological Process	GO:0030073	insulin secretion	132	enriched	4.45781095556475e-06	7.60394192846866e-08	depleted	0.870717447631915	0.667631128156615	closer	0.665803086204749	0.383266721210114
Gene Ontology Biological Process	GO:0051952	regulation of amine transport	51	enriched	5.38173845677967e-06	9.28425513962764e-08	depleted	0.501335315310489	0.170330837657124	closer	0.932965175139876	0.837782554674507
Gene Ontology Biological Process	GO:1900449	regulation of glutamate receptor signaling pathway	36	enriched	5.54998262979656e-06	9.6820786331012e-08	depleted	0.694176027704474	0.38457648073525	closer	0.0945825135869964	0.0102315906133146
Gene Ontology Biological Process	GO:0017157	regulation of exocytosis	85	enriched	5.5944825857638e-06	9.8681511010759e-08	enriched	0.431059179325853	0.107616465145976	farther	0.266929154021945	0.0621573229116939
Gene Ontology Biological Process	GO:0030072	peptide hormone secretion	147	enriched	6.0400778910122e-06	1.07712185689692e-07	depleted	0.98064954146861	0.933109811903523	closer	0.820216776626847	0.605296673732403
Gene Ontology Biological Process	GO:0007626	locomotory behavior	135	enriched	6.10284352438392e-06	1.11083996367358e-07	enriched	0.869024660095389	0.664413757938729	closer	0.670566838760417	0.393348808618158
Gene Ontology Biological Process	GO:0007416	synapse assembly	115	enriched	6.10284352438392e-06	1.12347226698538e-07	depleted	0.322073763988484	0.0521539774489811	closer	0.000771487434627617	1.79798974859806e-05
Gene Ontology Biological Process	GO:0007417	central nervous system development	461	enriched	6.10284352438392e-06	1.12380332393191e-07	depleted	0.018315109150479	0.000632167816324464	closer	3.82093814487481e-06	2.3746362523984e-08
Gene Ontology Biological Process	GO:0000902	cell morphogenesis	494	enriched	6.21217604008672e-06	1.1559777085643e-07	depleted	0.510234126206344	0.177003849482868	closer	0.00126261134523816	3.21231474511942e-05
Gene Ontology Biological Process	GO:0015844	monoamine transport	53	enriched	7.19222731970479e-06	1.36623042708096e-07	depleted	0.807563219027696	0.550400040379086	farther	0.948719819725187	0.875387038942389
Gene Ontology Biological Process	GO:0060322	head development	367	enriched	8.29213510887085e-06	1.5912412788878e-07	depleted	0.0246544750860068	0.000951374935449941	closer	0.000976289313970596	2.35264491187777e-05
Gene Ontology Biological Process	GO:0051046	regulation of secretion	311	enriched	1.09308045444295e-05	2.11878359070159e-07	depleted	0.701989062519673	0.395775697825478	closer	0.975765257031055	0.942409552919577
Gene Ontology Biological Process	GO:1903305	regulation of regulated secretory pathway	61	enriched	1.29129885539438e-05	2.52803226196613e-07	enriched	0.757487216466211	0.474292461114872	farther	0.701364338699771	0.432657073336814
Gene Ontology Biological Process	GO:0070838	divalent metal ion transport	224	enriched	1.60359598485105e-05	3.17051348041883e-07	depleted	0.232408124332806	0.0289488447824077	closer	0.149878373654073	0.0231410578859949
Gene Ontology Biological Process	GO:1903530	regulation of secretion by cell	291	enriched	1.86496980322463e-05	3.72343263679273e-07	depleted	0.826785062667121	0.582933970885719	farther	0.99253429553402	0.984683479625941
Gene Ontology Biological Process	GO:0061337	cardiac conduction	83	enriched	2.07834705895398e-05	4.18972851582116e-07	depleted	0.450315709783579	0.131814878011004	closer	0.34555069840374	0.101674771950022
Gene Ontology Biological Process	GO:0050432	catecholamine secretion	43	enriched	2.09507447854442e-05	4.26405931861144e-07	enriched	0.961466361968238	0.859018654651789	farther	0.726572644446652	0.467354553973065
Gene Ontology Biological Process	GO:0050767	regulation of neurogenesis	362	enriched	2.11553886446943e-05	4.34671679848342e-07	depleted	0.335599266383006	0.0590766425439693	closer	0.00251099021002173	7.80264971069093e-05
Gene Ontology Biological Process	GO:0072511	divalent inorganic cation transport	224	enriched	2.11793752377763e-05	4.39269848893597e-07	depleted	0.232408124332806	0.0289488447824077	closer	0.149878373654073	0.0231410578859949
Gene Ontology Biological Process	GO:0051656	establishment of organelle localization	203	enriched	2.64835493176647e-05	5.54414290813682e-07	enriched	0.127427420045515	0.0104108247504791	farther	0.364054089168697	0.112277703165642
Gene Ontology Biological Process	GO:0050433	regulation of catecholamine secretion	41	enriched	2.7366011783871e-05	5.83497052961003e-07	enriched	0.999918385258063	0.999918385258063	farther	0.700838912395156	0.431699739821441
Gene Ontology Biological Process	GO:0007411	axon guidance	165	enriched	2.77666338698437e-05	5.97421275354264e-07	depleted	0.350257201061592	0.0659488580112059	closer	0.00130112563843802	3.3355716502975e-05
Gene Ontology Biological Process	GO:0048878	chemical homeostasis	419	enriched	2.81215775845401e-05	6.10509147018511e-07	depleted	0.275645083900546	0.0380336636833141	closer	0.958945397511745	0.895437846423863
Gene Ontology Biological Process	GO:0030534	adult behavior	117	enriched	3.07920700596906e-05	6.74453172464633e-07	enriched	0.993459922247429	0.97902749036751	closer	0.471886307145151	0.186586837618316
Gene Ontology Biological Process	GO:0070588	calcium ion transmembrane transport	157	enriched	3.60124370116098e-05	8.02758336176608e-07	depleted	0.342665408339746	0.0623269639369171	closer	0.0867349708996461	0.00899523683441659
Gene Ontology Biological Process	GO:0035249	synaptic transmission, glutamatergic	67	enriched	3.96035907430189e-05	8.90485855047527e-07	depleted	0.527478814935571	0.19188486655403	closer	0.297832267668718	0.0756583037697966
Gene Ontology Biological Process	GO:0008306	associative learning	54	enriched	4.10818105460826e-05	9.31686728802417e-07	depleted	0.468209852858664	0.146767532270073	closer	0.269332666433952	0.0635107254369381
Gene Ontology Biological Process	GO:0044057	regulation of system process	244	enriched	5.10021818192302e-05	1.16655504064143e-06	depleted	0.616690667501269	0.282261803211343	closer	0.0436401887141157	0.00328000641529672
Gene Ontology Biological Process	GO:0048172	regulation of short-term neuronal synaptic plasticity	17	enriched	5.97405054487196e-05	1.37800351781307e-06	enriched	0.939072991850416	0.793819300538828	closer	0.379191036954669	0.123279432095964
Gene Ontology Biological Process	GO:0051640	organelle localization	225	enriched	6.55126782082017e-05	1.52384597499209e-06	enriched	0.105219901883141	0.00765124359243316	farther	0.403186506579295	0.139943463679419
Gene Ontology Biological Process	GO:0051966	regulation of synaptic transmission, glutamatergic	56	enriched	6.55703827867818e-05	1.53789810374115e-06	depleted	0.70259953661532	0.398098864841956	closer	0.404682141513543	0.141312583111546
Gene Ontology Biological Process	GO:0010975	regulation of neuron projection development	249	enriched	6.88552488332432e-05	1.62828849731647e-06	depleted	0.455693513752041	0.137675388338901	closer	0.017622282137896	0.000814547125426152
Gene Ontology Biological Process	GO:0008016	regulation of heart contraction	119	enriched	7.73119569087816e-05	1.85824436066852e-06	depleted	0.788420220686556	0.521708553662189	closer	0.58691331392214	0.291304961474294
Gene Ontology Biological Process	GO:0051899	membrane depolarization	58	enriched	7.77667021018747e-05	1.89185153732801e-06	depleted	0.913966420306018	0.751899024874206	closer	0.256795881057891	0.0571544143896568
Gene Ontology Biological Process	GO:0033555	multicellular organismal response to stress	58	enriched	7.77667021018747e-05	1.8993224393945e-06	depleted	0.355655564669498	0.0678357226692529	closer	0.0331071572467461	0.00206397309695193
Gene Ontology Biological Process	GO:0099601	regulation of neurotransmitter receptor activity	33	enriched	7.82850329849452e-05	1.92715626847995e-06	depleted	0.656713297527656	0.33758909283417	closer	0.0840700401375971	0.00842322354662147
Gene Ontology Biological Process	GO:0032989	cellular component morphogenesis	525	enriched	8.86187767181539e-05	2.21589885571658e-06	depleted	0.642799749761162	0.317839361629951	closer	0.0020218066939453	5.88990103110886e-05
Gene Ontology Biological Process	GO:0030799	regulation of cyclic nucleotide metabolic process	86	enriched	9.00499893809064e-05	2.26914103886758e-06	depleted	0.510767088472414	0.178080128965174	closer	0.69219679612421	0.42117936730572
Gene Ontology Biological Process	GO:0036465	synaptic vesicle recycling	28	enriched	0.000121193523216691	3.12439205036246e-06	depleted	0.794227227660875	0.529022789803201	closer	0.571911602129312	0.276381239977732
Gene Ontology Biological Process	GO:0032940	secretion by cell	551	enriched	0.000129870730624333	3.37326573050216e-06	depleted	0.818333959509841	0.566851069292561	closer	0.905201702690739	0.770446913711191
Gene Ontology Biological Process	GO:0046903	secretion	586	enriched	0.000145180118595204	3.81731872193806e-06	depleted	0.458788243917392	0.140563394490882	closer	0.6709872843276	0.394069828667054
Gene Ontology Biological Process	GO:1900543	negative regulation of purine nucleotide metabolic process	41	enriched	0.000145180118595204	3.82719444251749e-06	depleted	0.983145644143204	0.944628111609331	farther	0.951253125140399	0.882367678728853
Gene Ontology Biological Process	GO:0003013	circulatory system process	232	enriched	0.000147398826080572	3.91425454022841e-06	depleted	0.0200610683732212	0.000746892597955881	closer	0.00951307885201245	0.000374018887060109
Gene Ontology Biological Process	GO:0050905	neuromuscular process	82	enriched	0.000150139627225843	4.04524291226829e-06	depleted	0.446537378857993	0.126914475592741	closer	0.035721811068353	0.00234433042974481
Gene Ontology Biological Process	GO:0001508	action potential	84	enriched	0.000155823319594101	4.22858397813029e-06	depleted	0.918491498730069	0.757661980918695	closer	0.0917259308139798	0.0097266184160872
Gene Ontology Biological Process	GO:0045980	negative regulation of nucleotide metabolic process	41	enriched	0.000165457847311391	4.52210825177477e-06	depleted	0.983145644143204	0.944628111609331	farther	0.951253125140399	0.882367678728853
Gene Ontology Biological Process	GO:0003015	heart process	135	enriched	0.000178068380754896	4.95325743754297e-06	depleted	0.63227096063182	0.30322753391339	closer	0.302408905918552	0.0776431488880027
Gene Ontology Biological Process	GO:0008015	blood circulation	229	enriched	0.000178068380754896	4.97031339963269e-06	depleted	0.0381209013641604	0.0017001759382891	closer	0.0166676594291064	0.000747762541876786
Gene Ontology Biological Process	GO:1903522	regulation of blood circulation	140	enriched	0.000180580307643888	5.0754302400395e-06	depleted	0.389128303153049	0.083160045450378	closer	0.136721374839571	0.0193836868582029
Gene Ontology Biological Process	GO:0019233	sensory perception of pain	57	enriched	0.000191457828686425	5.45537910775432e-06	depleted	0.33048935493424	0.055611067614409	closer	0.0738915161949864	0.00690266445713506
Gene Ontology Biological Process	GO:0046058	cAMP metabolic process	82	enriched	0.000195892701670207	5.61971696979853e-06	depleted	0.818654901253363	0.569264393231445	closer	0.660343046133887	0.377382282160149
Gene Ontology Biological Process	GO:0050807	regulation of synapse organization	90	enriched	0.000264966444297073	7.65264590041942e-06	depleted	0.340111043664316	0.0607227725035268	closer	4.22913899368669e-05	5.58519035872393e-07
Gene Ontology Biological Process	GO:0060047	heart contraction	131	enriched	0.000265587928442488	7.72207584151449e-06	depleted	0.820448446253541	0.571784315655464	closer	0.394637926930264	0.133785739755324
Gene Ontology Biological Process	GO:0030900	forebrain development	204	enriched	0.000310069681955266	9.07550338733188e-06	depleted	0.0686305924977069	0.00384806952553778	closer	0.00451938198929451	0.000155564003273793
Gene Ontology Biological Process	GO:1900542	regulation of purine nucleotide metabolic process	109	enriched	0.000316886166642429	9.33644065315937e-06	depleted	0.573467472562562	0.232634080395749	closer	0.827539454061322	0.615230341842444
