Category	Geneset.ID	Description	Number.of.Genes	enrich.status	enrich.fdr	enrich.pvalue	promoter.status	promoter.fdr	promoter.pvalue	enhancer.status	enhancer.fdr	enhancer.pvalue
Gene Ontology Biological Process	GO:0006812	cation transport	1034	enriched	8.77706249527199e-13	2.55196622269975e-15	depleted	0.729735039222045	0.426251406675313	closer	0.00218436943361737	3.89536708456674e-05
Gene Ontology Biological Process	GO:0031175	neuron projection development	941	enriched	1.03054987529726e-12	3.19612289295525e-15	enriched	0.301536307091127	0.0641235948060949	closer	0.0016006036237939	2.69921526012927e-05
Gene Ontology Biological Process	GO:0034220	ion transmembrane transport	1018	enriched	6.21791389802619e-12	2.0489346048933e-14	depleted	0.890747651711101	0.706865843400901	closer	0.00331376699584651	7.32253222575116e-05
Gene Ontology Biological Process	GO:0044708	single-organism behavior	470	enriched	1.01104383821425e-11	3.6799461276663e-14	enriched	0.790508040199124	0.515269604448629	closer	0.123175049948682	0.0161161385375771
Gene Ontology Biological Process	GO:0099531	presynaptic process involved in chemical synaptic transmission	171	enriched	1.01104383821425e-11	3.72355745804822e-14	enriched	0.524832713187947	0.203971620457808	farther	0.949270134187278	0.851618545445864
Gene Ontology Biological Process	GO:0023061	signal release	440	enriched	1.17046166316673e-11	4.53755248368573e-14	enriched	0.961658794490962	0.884301089564862	closer	0.957550863722645	0.877739491092147
Gene Ontology Biological Process	GO:0007611	learning or memory	291	enriched	1.30939461109818e-11	5.32996449565066e-14	enriched	0.784946657522996	0.501641622379011	closer	0.0893532632005457	0.00924726155304365
Gene Ontology Biological Process	GO:0030001	metal ion transport	820	enriched	1.65192386101178e-11	7.04445143288604e-14	enriched	0.887932151530734	0.69877971219515	closer	0.0268066479106563	0.00143931798240973
Gene Ontology Biological Process	GO:0007610	behavior	638	enriched	3.85506126242766e-11	1.71867433680628e-13	depleted	0.697816170940578	0.391911296322318	closer	0.0049047536781744	0.000132290374864928
Gene Ontology Biological Process	GO:0098662	inorganic cation transmembrane transport	678	enriched	4.50599842408979e-11	2.09621946458916e-13	depleted	0.962218946858307	0.887611098102369	closer	0.00086349162854772	1.3222686306507e-05
Gene Ontology Biological Process	GO:0061564	axon development	582	enriched	4.56102729150464e-11	2.24918599911875e-13	enriched	0.48573357687001	0.173052590480147	closer	0.000774291160517505	1.15565844853359e-05
Gene Ontology Biological Process	GO:0048858	cell projection morphogenesis	730	enriched	4.56102729150464e-11	2.36733316853517e-13	enriched	0.0713950305284129	0.00434542345142889	closer	0.00401539513650108	9.88476802356343e-05
Gene Ontology Biological Process	GO:0042391	regulation of membrane potential	418	enriched	4.56102729150464e-11	2.387046653821e-13	enriched	0.298491968909635	0.0620821637216589	closer	0.243482496926691	0.0535926792852625
Gene Ontology Biological Process	GO:0050890	cognition	320	enriched	4.81402729387783e-11	2.61276922327155e-13	enriched	0.677556890347318	0.366030442604764	closer	0.108999650804984	0.0127064779426816
Gene Ontology Biological Process	GO:0032990	cell part morphogenesis	747	enriched	5.15836067074517e-11	2.89964061739891e-13	enriched	0.0519487329457367	0.00263687966681474	closer	0.0049047536781744	0.000131254955014786
Gene Ontology Biological Process	GO:0001505	regulation of neurotransmitter levels	199	enriched	7.78942178592165e-11	4.6805984757428e-13	enriched	0.639924668467757	0.32156876377662	farther	0.857621069550604	0.638852058593326
Gene Ontology Biological Process	GO:0006811	ion transport	1434	enriched	9.13683333507855e-11	5.76396695054054e-13	depleted	0.720496899651021	0.417857476983108	closer	0.020536620721543	0.00101508786276283
Gene Ontology Biological Process	GO:0098660	inorganic ion transmembrane transport	771	enriched	9.13683333507855e-11	5.84445629109502e-13	depleted	0.958300381049353	0.874390263275469	closer	0.00124858959096323	1.98457736885026e-05
Gene Ontology Biological Process	GO:0048667	cell morphogenesis involved in neuron differentiation	659	enriched	1.03489908853121e-10	6.82042430898648e-13	enriched	0.13698653707218	0.0139402853194213	closer	0.00603709385116413	0.000182552169176508
Gene Ontology Biological Process	GO:0007409	axonogenesis	539	enriched	1.34898193493062e-10	9.17232400594666e-13	enriched	0.258983400597417	0.0466928197790401	closer	0.00369025168812965	8.63155402688778e-05
Gene Ontology Biological Process	GO:0048812	neuron projection morphogenesis	693	enriched	1.34898193493062e-10	9.41332615962441e-13	enriched	0.134254856605572	0.013425376112636	closer	0.00122841000551545	1.92869180939623e-05
Gene Ontology Biological Process	GO:0007269	neurotransmitter secretion	159	enriched	1.6386805075637e-10	1.20701413621672e-12	enriched	0.460584699735059	0.156682719138404	closer	0.9767791292848	0.936450779888083
Gene Ontology Biological Process	GO:0099643	signal release from synapse	159	enriched	1.6386805075637e-10	1.20701413621672e-12	enriched	0.460584699735059	0.156682719138404	closer	0.9767791292848	0.936450779888083
Gene Ontology Biological Process	GO:0034765	regulation of ion transmembrane transport	450	enriched	6.88214159148553e-10	5.20262690575568e-12	depleted	0.830577714205951	0.584665859279762	closer	0.00564518570453077	0.000166177583223069
Gene Ontology Biological Process	GO:0048468	cell development	1954	enriched	7.24887579708519e-10	5.62037278316355e-12	enriched	0.947830672022349	0.844210493883057	closer	0.00414817159243588	0.000102920326387244
Gene Ontology Biological Process	GO:0007215	glutamate receptor signaling pathway	119	enriched	1.10610810656652e-09	8.79054707680314e-12	enriched	0.443075403686383	0.142557087173635	closer	0.209829978641735	0.040469243796962
Gene Ontology Biological Process	GO:0034762	regulation of transmembrane transport	465	enriched	1.86755889617862e-09	1.59280076433144e-11	depleted	0.642288156776434	0.325672212065284	closer	0.00447444544481585	0.000113617436183539
Gene Ontology Biological Process	GO:0055085	transmembrane transport	1275	enriched	2.07639645943745e-09	1.81116186615013e-11	enriched	0.967289775823109	0.907577868635415	closer	0.185807730467115	0.0319103797623306
Gene Ontology Biological Process	GO:0043269	regulation of ion transport	598	enriched	7.54372062407314e-09	6.72632581328483e-11	depleted	0.950221638634572	0.856470366282372	closer	0.0126623805463689	0.000485976225660215
Gene Ontology Biological Process	GO:0000902	cell morphogenesis	1072	enriched	1.09032446161965e-08	9.93317497501909e-11	enriched	0.256039240665314	0.0456225382957298	closer	0.000452256407495308	4.82149688161309e-06
Gene Ontology Biological Process	GO:0000904	cell morphogenesis involved in differentiation	795	enriched	1.14507613392833e-08	1.06539357295134e-10	enriched	0.380412242497148	0.100356864128439	closer	0.000204051390576	1.42389030058848e-06
Gene Ontology Biological Process	GO:0030030	cell projection organization	1424	enriched	1.58119427372584e-08	1.50181274302319e-10	enriched	0.83023745253041	0.58192258739096	closer	4.43191217274558e-05	2.31947332165402e-07
Gene Ontology Biological Process	GO:0099504	synaptic vesicle cycle	144	enriched	1.79850621071986e-08	1.74307638177928e-10	enriched	0.21128186998661	0.0317803316746675	farther	0.814725358370391	0.576712166856739
Gene Ontology Biological Process	GO:0006813	potassium ion transport	242	enriched	2.39142718170531e-08	2.36407804355439e-10	enriched	0.988395993341426	0.973069054115352	closer	0.167148519735068	0.0267529207066509
Gene Ontology Biological Process	GO:0071804	cellular potassium ion transport	207	enriched	2.45486549437066e-08	2.5219591238931e-10	enriched	0.954426384448199	0.866550336258066	closer	0.127341760640569	0.0169928690767985
Gene Ontology Biological Process	GO:0071805	potassium ion transmembrane transport	207	enriched	2.45486549437066e-08	2.5219591238931e-10	enriched	0.954426384448199	0.866550336258066	closer	0.127341760640569	0.0169928690767985
Gene Ontology Biological Process	GO:0060078	regulation of postsynaptic membrane potential	153	enriched	5.22987664179233e-08	5.47418760722593e-10	enriched	0.14220726396226	0.0148299104500283	closer	0.703808324894228	0.416773489542909
Gene Ontology Biological Process	GO:0007270	neuron-neuron synaptic transmission	165	enriched	1.08838118660356e-07	1.16032109446008e-09	enriched	0.671463307080435	0.359354563064369	farther	0.99254228287331	0.974842362341357
Gene Ontology Biological Process	GO:0017156	calcium ion regulated exocytosis	112	enriched	1.74445037537823e-07	1.8935689284974e-09	enriched	0.281714509941103	0.0545184454864602	farther	0.30333267853858	0.0790334948880487
Gene Ontology Biological Process	GO:0032989	cellular component morphogenesis	1149	enriched	1.88266196692205e-07	2.0800878487024e-09	enriched	0.301536307091127	0.0641724992755555	closer	0.00032732274868904	3.18532420602667e-06
Gene Ontology Biological Process	GO:0007417	central nervous system development	990	enriched	2.02128776997007e-07	2.27243052254825e-09	depleted	0.720496899651021	0.417721516506805	closer	0.00922883360591996	0.000321998458822561
Gene Ontology Biological Process	GO:0035176	social behavior	81	enriched	2.78609610918931e-07	3.24027459878579e-09	enriched	0.904653364854382	0.741398415701556	closer	0.509349717483668	0.214146062652079
Gene Ontology Biological Process	GO:0051703	intraspecies interaction between organisms	81	enriched	2.78609610918931e-07	3.24027459878579e-09	enriched	0.904653364854382	0.741398415701556	closer	0.509349717483668	0.214146062652079
Gene Ontology Biological Process	GO:0050808	synapse organization	286	enriched	2.94607084626416e-07	3.540538718131e-09	enriched	0.194141550061772	0.0274922261957217	closer	0.0576802285816209	0.00467596737409152
Gene Ontology Biological Process	GO:0048168	regulation of neuronal synaptic plasticity	68	enriched	3.06432268139763e-07	3.74204940740551e-09	enriched	0.820811204376741	0.562761807994567	farther	0.981517480768925	0.947607480279399
Gene Ontology Biological Process	GO:0048489	synaptic vesicle transport	146	enriched	4.14401223817172e-07	5.38183407554768e-09	enriched	0.120360954595937	0.0107319323733536	farther	0.374537402059461	0.118144006425687
Gene Ontology Biological Process	GO:0097480	establishment of synaptic vesicle localization	146	enriched	4.14401223817172e-07	5.38183407554768e-09	enriched	0.120360954595937	0.0107319323733536	farther	0.374537402059461	0.118144006425687
Gene Ontology Biological Process	GO:0099003	vesicle-mediated transport in synapse	146	enriched	4.14401223817172e-07	5.38183407554768e-09	enriched	0.120360954595937	0.0107319323733536	farther	0.374537402059461	0.118144006425687
Gene Ontology Biological Process	GO:0051049	regulation of transport	1710	enriched	4.91342073377329e-07	6.47630567739065e-09	enriched	0.921138281060393	0.77615586504546	farther	0.981517480768925	0.948223129318148
Gene Ontology Biological Process	GO:0015672	monovalent inorganic cation transport	494	enriched	7.04922265060791e-07	9.42811325628893e-09	depleted	0.945951066925428	0.841234585929214	closer	0.173740245462761	0.0285424625767994
Gene Ontology Biological Process	GO:0007613	memory	126	enriched	7.07147914073667e-07	9.59495134428314e-09	depleted	0.930162164931843	0.802148163158191	closer	0.0446805561862246	0.00320832366372852
Gene Ontology Biological Process	GO:0097479	synaptic vesicle localization	149	enriched	1.14318603402604e-06	1.57329343701975e-08	enriched	0.133587203754211	0.0131543578566504	farther	0.454499807603735	0.174807138812215
Gene Ontology Biological Process	GO:0051705	multi-organism behavior	94	enriched	1.33260591959662e-06	1.8598105487683e-08	enriched	0.811891950972655	0.548448042089495	closer	0.392803043276109	0.130336679099994
Gene Ontology Biological Process	GO:0007420	brain development	744	enriched	1.41574905136328e-06	2.00328902402634e-08	enriched	0.917102844990259	0.76585828382143	closer	0.235771124060828	0.0504538323247052
Gene Ontology Biological Process	GO:0060322	head development	783	enriched	2.25558575961111e-06	3.23538178350887e-08	depleted	0.994790292151991	0.98782420567738	closer	0.308686017278779	0.0821771116077966
Gene Ontology Biological Process	GO:0097485	neuron projection guidance	304	enriched	2.61210989912914e-06	3.79740729665993e-08	enriched	0.416946566353529	0.123653468990289	closer	0.000773305051273534	1.13403586153747e-05
Gene Ontology Biological Process	GO:0050905	neuromuscular process	138	enriched	2.7472328692425e-06	4.04709629894224e-08	enriched	0.787645240173277	0.511214973441895	closer	0.226542776869309	0.0464980453596439
Gene Ontology Biological Process	GO:0051960	regulation of nervous system development	823	enriched	3.80087278579251e-06	5.73675673112271e-08	enriched	0.954695587633112	0.867812327225311	closer	0.0140588925873242	0.000572275139239791
Gene Ontology Biological Process	GO:0008306	associative learning	98	enriched	3.80087278579251e-06	5.82029366306664e-08	enriched	0.630679780416218	0.313417700723578	closer	0.833802153719444	0.603308991476937
Gene Ontology Biological Process	GO:0007626	locomotory behavior	215	enriched	5.15672448463969e-06	7.99647138536877e-08	enriched	0.573542390569363	0.250182456534457	closer	0.696594519021673	0.401756373600367
Gene Ontology Biological Process	GO:0050806	positive regulation of synaptic transmission	146	enriched	5.35150565848472e-06	8.42774453179714e-08	enriched	0.356963243753857	0.0865596080511874	closer	0.961020608071078	0.890047773863851
Gene Ontology Biological Process	GO:0099565	chemical synaptic transmission, postsynaptic	127	enriched	5.35150565848472e-06	8.50597914316237e-08	enriched	0.191753984649755	0.026793536927729	farther	0.961020608071078	0.889302427455972
Gene Ontology Biological Process	GO:0035249	synaptic transmission, glutamatergic	113	enriched	5.44968775748765e-06	8.76766977847402e-08	enriched	0.55740149950266	0.232451426240554	closer	0.943865653988566	0.835373245999572
Gene Ontology Biological Process	GO:0017158	regulation of calcium ion-dependent exocytosis	74	enriched	5.67164419089843e-06	9.23469881828781e-08	enriched	0.513052264217983	0.194547834136918	farther	0.886843705379624	0.698266937633657
Gene Ontology Biological Process	GO:0048878	chemical homeostasis	989	enriched	6.06915672521371e-06	9.99957979537052e-08	depleted	0.503559879768239	0.187314029081848	closer	0.584233969977807	0.274733787781772
Gene Ontology Biological Process	GO:0030072	peptide hormone secretion	256	enriched	8.26122505555853e-06	1.37713772975002e-07	enriched	0.88230671248283	0.688024792463351	farther	0.446093698547197	0.166822015002295
Gene Ontology Biological Process	GO:1900449	regulation of glutamate receptor signaling pathway	61	enriched	1.16532286439516e-05	1.96516939721611e-07	enriched	0.858373515926551	0.636139595273097	closer	0.129458820740304	0.0174150846275966
Gene Ontology Biological Process	GO:0030073	insulin secretion	220	enriched	1.26855552773294e-05	2.16384738206045e-07	depleted	0.984301730070337	0.958258538246465	farther	0.758579807094327	0.497219655740899
Gene Ontology Biological Process	GO:0007411	axon guidance	300	enriched	1.44182650722466e-05	2.487353346443e-07	enriched	0.434897444239294	0.137577277649652	closer	0.000650827523880753	8.32615169143821e-06
Gene Ontology Biological Process	GO:0030534	adult behavior	155	enriched	1.97478355560983e-05	3.44505756939106e-07	enriched	0.381497722600467	0.101708667495186	closer	0.73352302381916	0.457879320392555
Gene Ontology Biological Process	GO:0045664	regulation of neuron differentiation	628	enriched	2.02556664360213e-05	3.57291266849765e-07	enriched	0.699926656804836	0.395124333706294	closer	0.113814458275646	0.0137000927678186
Gene Ontology Biological Process	GO:0016079	synaptic vesicle exocytosis	86	enriched	2.74200184560683e-05	4.88978813327831e-07	enriched	0.330331481960514	0.0739951569911151	farther	0.454417279539846	0.173704418299887
Gene Ontology Biological Process	GO:0048172	regulation of short-term neuronal synaptic plasticity	27	enriched	2.74950056912118e-05	4.95645576523105e-07	enriched	0.211096271724139	0.0316705784676262	farther	0.687958595784409	0.390718876845962
Gene Ontology Biological Process	GO:0006816	calcium ion transport	380	enriched	2.89533455156192e-05	5.27546904141927e-07	depleted	0.670087155338127	0.358488185449356	closer	0.0576802285816209	0.00469798772047069
Gene Ontology Biological Process	GO:0035637	multicellular organismal signaling	228	enriched	2.93601716021615e-05	5.40650572243719e-07	enriched	0.816374713403842	0.553849873408305	closer	0.47425093767555	0.187990534511824
Gene Ontology Biological Process	GO:0060079	excitatory postsynaptic potential	114	enriched	3.51930408141851e-05	6.54881162659773e-07	enriched	0.179389954457905	0.0226367242395999	farther	0.953459060500188	0.866226519977589
Gene Ontology Biological Process	GO:0050877	neurological system process	901	enriched	3.61130098180491e-05	6.86000186502967e-07	depleted	0.070531294533143	0.00426550957440214	closer	1.06846885378931e-09	4.14215488966587e-13
Gene Ontology Biological Process	GO:0010975	regulation of neuron projection development	480	enriched	5.07562253698891e-05	9.74000060402988e-07	enriched	0.830577714205951	0.583552903577325	closer	0.0419036523923178	0.00288346512875999
Gene Ontology Biological Process	GO:0050767	regulation of neurogenesis	734	enriched	9.63984028370525e-05	1.86854822324196e-06	enriched	0.752057877998806	0.458173659730616	closer	0.12248597643595	0.015912553146596
Gene Ontology Biological Process	GO:0022604	regulation of cell morphogenesis	539	enriched	0.000118793129384826	2.32566506452169e-06	enriched	0.254479141555142	0.0443984268762951	closer	0.0424751295045318	0.00293925590872608
Gene Ontology Biological Process	GO:0031344	regulation of cell projection organization	656	enriched	0.000128153145641655	2.53375089270185e-06	enriched	0.771715798066279	0.482933784839297	closer	0.0127471090250104	0.00049698977610722
Gene Ontology Biological Process	GO:0051966	regulation of synaptic transmission, glutamatergic	95	enriched	0.000151651013497559	3.02772909289564e-06	enriched	0.42481415504086	0.130436256463847	closer	0.944942249302276	0.837608239205138
Gene Ontology Biological Process	GO:0099601	regulation of neurotransmitter receptor activity	58	enriched	0.000173920782274868	3.53866502958914e-06	enriched	0.940492266620145	0.829853187876663	closer	0.077472046787153	0.00728837779646713
Gene Ontology Biological Process	GO:0070838	divalent metal ion transport	428	enriched	0.000173920782274868	3.53977168809094e-06	enriched	0.980536473850954	0.94564327045764	closer	0.0561869457368455	0.0043890946175516
Gene Ontology Biological Process	GO:0070588	calcium ion transmembrane transport	285	enriched	0.000183368261539423	3.7675975427755e-06	depleted	0.96940033178716	0.916194138299116	closer	0.00976517047924508	0.000348282878112249
Gene Ontology Biological Process	GO:0032940	secretion by cell	1261	enriched	0.000208680442189241	4.32900077037609e-06	depleted	0.40828935585789	0.118407187927541	farther	0.706234314996206	0.419524541863664
Gene Ontology Biological Process	GO:0033555	multicellular organismal response to stress	84	enriched	0.000208680442189241	4.36857680876877e-06	depleted	0.91898846810023	0.772028691751579	closer	0.253801672066983	0.0582479511004668
Gene Ontology Biological Process	GO:0015837	amine transport	80	enriched	0.000214982740988399	4.54218235466863e-06	depleted	0.101489533081823	0.00757384575237484	closer	0.16107959264269	0.0252594282705826
Gene Ontology Biological Process	GO:0046903	secretion	1360	enriched	0.000217085189995942	4.62868208946572e-06	depleted	0.0594732019003052	0.00334313404750698	closer	0.988992092170639	0.967663501455512
Gene Ontology Biological Process	GO:0003008	system process	1543	enriched	0.000224566790238964	4.83173361436809e-06	depleted	0.0204075172015561	0.000566415755899531	closer	2.44166049642514e-10	4.73281739954475e-14
Gene Ontology Biological Process	GO:0072511	divalent inorganic cation transport	429	enriched	0.000240006584610016	5.21045502545489e-06	enriched	0.981156853242909	0.946923817076264	closer	0.0493453461569679	0.00368205727445346
Gene Ontology Biological Process	GO:0030900	forebrain development	412	enriched	0.000274902846366173	6.02132615611118e-06	enriched	0.712888408021793	0.409407023623392	closer	0.656651778404772	0.350027600428983
Gene Ontology Biological Process	GO:0061337	cardiac conduction	150	enriched	0.000397328739709716	8.77989461657445e-06	depleted	0.504748526220945	0.18879439236367	closer	0.59307376280203	0.283833905865131
Gene Ontology Biological Process	GO:0051648	vesicle localization	244	enriched	0.000400385348999224	8.9250465467941e-06	enriched	0.131260791792473	0.0125097257005109	farther	0.378791109346201	0.121188428579366
Gene Ontology Biological Process	GO:0046879	hormone secretion	301	enriched	0.000481249883204751	1.08208928962495e-05	depleted	0.810568654793398	0.544254665672481	farther	0.94521902021086	0.840446224504081
Gene Ontology Biological Process	GO:0007616	long-term memory	45	enriched	0.00048397925564099	1.09760753847637e-05	enriched	0.878661673895796	0.678540048226566	closer	0.487985324332634	0.198094773027152
Gene Ontology Biological Process	GO:0010769	regulation of cell morphogenesis involved in differentiation	320	enriched	0.000517016272022263	1.18255320989779e-05	enriched	0.455480270050079	0.152209340098146	closer	0.0840877769385436	0.00825517680394826
Gene Ontology Biological Process	GO:0017157	regulation of exocytosis	157	enriched	0.000525927551760624	1.22332440804952e-05	enriched	0.5784904791423	0.258577058519508	farther	0.357595109512974	0.109348814086109
Gene Ontology Biological Process	GO:0048588	developmental cell growth	217	enriched	0.000540008695262627	1.26654491426203e-05	enriched	0.171037625059746	0.0210319374670655	closer	0.516245852728253	0.220038557441813
Gene Ontology Biological Process	GO:2000311	regulation of AMPA receptor activity	34	enriched	0.000540542573439216	1.27827474238388e-05	depleted	0.912081594084166	0.755986831614778	closer	0.0703307634329684	0.00620284887807727
Gene Ontology Biological Process	GO:1901698	response to nitrogen compound	949	enriched	0.000549491813385654	1.31008902978165e-05	enriched	0.579719109300108	0.26013757279119	farther	0.0814330204356376	0.0079081107265467
Gene Ontology Biological Process	GO:0051650	establishment of vesicle localization	229	enriched	0.000556764723523695	1.34588135200573e-05	enriched	0.11000168910057	0.00901932825926363	farther	0.323795323238955	0.0901279480851211
Gene Ontology Biological Process	GO:0009187	cyclic nucleotide metabolic process	187	enriched	0.000568281527835248	1.38793317517428e-05	depleted	0.573542390569363	0.249732129052326	closer	0.390503371698487	0.128470570715214
Gene Ontology Biological Process	GO:0050954	sensory perception of mechanical stimulus	193	enriched	0.000597657638216391	1.47855405592399e-05	depleted	0.211096271724139	0.0316306537994377	closer	0.00243140874939615	4.85236816554707e-05
Gene Ontology Biological Process	GO:0035235	ionotropic glutamate receptor signaling pathway	47	enriched	0.000597657638216391	1.48284895700132e-05	enriched	0.77785151352213	0.492185957269422	closer	0.622718544282586	0.312114156983257
Gene Ontology Biological Process	GO:0050807	regulation of synapse organization	143	enriched	0.000642031946137954	1.60539098762931e-05	depleted	0.961049817390803	0.883328808309058	closer	0.0133294530333687	0.000537415435344193
Gene Ontology Biological Process	GO:0042592	homeostatic process	1507	enriched	0.000644233287538739	1.62338296918077e-05	depleted	0.32709122365137	0.0729757701924262	closer	0.795423957173789	0.545403887319795
Gene Ontology Biological Process	GO:0008361	regulation of cell size	191	enriched	0.000712774955308333	1.80991508326016e-05	enriched	0.546405886871821	0.220934809074359	closer	0.204838477039193	0.0384000929971567
Gene Ontology Biological Process	GO:0021537	telencephalon development	274	enriched	0.000728807176613087	1.864751837816e-05	enriched	0.88230671248283	0.68771735631865	closer	0.635754973610208	0.32853707300733
Gene Ontology Biological Process	GO:1903305	regulation of regulated secretory pathway	104	enriched	0.000740863868477001	1.90996112633148e-05	depleted	0.963258268533249	0.890253038256742	farther	0.981517480768925	0.946777225801625
Gene Ontology Biological Process	GO:0051937	catecholamine transport	66	enriched	0.000778998882869703	2.03782934620385e-05	depleted	0.680789221698274	0.37120761400218	closer	0.907530060783995	0.746394659411997
Gene Ontology Biological Process	GO:0060284	regulation of cell development	837	enriched	0.000778998882869703	2.05357332952665e-05	enriched	0.766635285223137	0.475400926894344	closer	0.0576802285816209	0.00468146776430494
Gene Ontology Biological Process	GO:0007416	synapse assembly	158	enriched	0.000823917570521867	2.18795710722031e-05	depleted	0.927362661642455	0.792085261421849	closer	0.0122126551332843	0.000463981470463991
Gene Ontology Biological Process	GO:0051046	regulation of secretion	620	enriched	0.000841756534190257	2.25164570107105e-05	depleted	0.186086420611487	0.0246048332876578	closer	0.863819293558003	0.652098725534544
Gene Ontology Biological Process	GO:0019226	transmission of nerve impulse	106	enriched	0.000961590729622707	2.59083371617671e-05	enriched	0.354630083509745	0.085237701793387	closer	0.300466743859003	0.0769761746321726
Gene Ontology Biological Process	GO:0050770	regulation of axonogenesis	200	enriched	0.00097115399675251	2.63542468589555e-05	enriched	0.608554779640501	0.290603533364207	closer	0.213285796901702	0.0418298033605553
Gene Ontology Biological Process	GO:1903530	regulation of secretion by cell	579	enriched	0.000974202962391283	2.66258223875113e-05	depleted	0.425127393205638	0.130776734448022	closer	0.94521902021086	0.839987018442256
Gene Ontology Biological Process	GO:0060291	long-term synaptic potentiation	78	enriched	0.00105288470870392	2.8980350578786e-05	enriched	0.541544882317861	0.2179195921093	closer	0.769110592172225	0.510694493426407
Gene Ontology Biological Process	GO:0014070	response to organic cyclic compound	911	enriched	0.00105433536333948	2.9224647597896e-05	depleted	0.424288668097508	0.128823559552397	farther	0.816056401027388	0.579101082411566
Gene Ontology Biological Process	GO:0007188	adenylate cyclase-modulating G-protein coupled receptor signaling pathway	162	enriched	0.00106906575896687	2.98401762533882e-05	depleted	0.331516233220041	0.0751049867314544	closer	0.235739515962026	0.0503581786027416
Gene Ontology Biological Process	GO:0050803	regulation of synapse structure or activity	144	enriched	0.00109467377351983	3.07671442450816e-05	depleted	0.932544701235195	0.808876806157151	closer	0.0101539936776622	0.00036608699826423
Gene Ontology Biological Process	GO:0036465	synaptic vesicle recycling	57	enriched	0.00117151185000425	3.31538534794767e-05	enriched	0.20976093675656	0.0312669432769519	farther	0.93422844111682	0.81217572366911
Gene Ontology Biological Process	GO:1901700	response to oxygen-containing compound	1465	enriched	0.00128059564330176	3.69856078410471e-05	depleted	0.403029746313662	0.114838869370243	farther	0.327368301053759	0.0923281407313858
Gene Ontology Biological Process	GO:0009914	hormone transport	304	enriched	0.00136581331068773	3.97933992078498e-05	depleted	0.747988764313618	0.454244775846979	closer	0.99110129715173	0.971899218450069
Gene Ontology Biological Process	GO:0051962	positive regulation of nervous system development	519	enriched	0.00136581331068773	3.99763151606604e-05	depleted	0.601405632977706	0.281176659573993	closer	0.0127471090250104	0.000493645478670886
Gene Ontology Biological Process	GO:0019725	cellular homeostasis	786	enriched	0.0013758122644344	4.07872191613264e-05	enriched	0.964785834242454	0.896262955168384	farther	0.911155446913524	0.760164138620395
